districtName
Ariyalur
Chengalpattu
Chennai
Coimbatore
Cuddalore
Dharmapuri
Dindigul
Erode
Kallakurichi
Kancheepuram
Kanyakumari
Karur
Krishnagiri
Madurai
Mayiladuthurai
Nagapattinam
Namakkal
Nilgiris
Perambalur
Pudukkottai
Ramanathapuram
Ranipet
Salem
Sivagangai
Tenkasi
Thanjavur
Theni
Thoothukudi
Tiruchirappalli
Tirunelveli
Tirupathur
Tiruppur
Tiruvallur
Tiruvannamalai
Tiruvarur
Vellore
Villuppuram
Virudhunagar
