Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,Material Science and Engineering (SS),188.0,185.0,178.5,178.5,0.0,0.0,164.0,142.5,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,Mechanical Engineering,192.0,190.0,190.0,189.5,0.0,0.0,183.5,160.0,176.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,Mining Engineering,185.0,180.0,174.5,175.0,0.0,0.0,167.5,147.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,Manufacturing Engineering,187.0,184.5,179.0,178.5,0.0,0.0,168.5,144.5,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,Printing Technology,179.0,176.5,168.0,169.75,0.0,0.0,166.5,131.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,Civil Engineering (Tamil Medium),175.0,164.5,164.0,168.5,0.0,0.0,151.5,157.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,Mechanical Engineering (Tamil Medium),177.0,163.5,151.5,170.5,0.0,0.0,161.5,0.0,137.5
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,Apparel Technology (SS),163.5,159.5,146.0,151.5,0.0,0.0,142.0,115.5,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,Chemical Engineering,190.0,190.0,186.0,183.0,0.0,0.0,174.0,146.5,184.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,Chemical Engineering (SS),189.0,186.5,184.5,177.5,0.0,0.0,159.5,135.5,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,Ceramic Technology (SS),168.5,159.5,150.0,157.0,0.0,0.0,140.5,120.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,Food Technology (SS),187.0,183.0,181.0,175.0,0.0,0.0,172.5,149.0,126.5
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,Industrial Bio-Technology,192.0,190.0,187.0,184.0,0.0,0.0,173.5,154.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,Industrial Bio-Tech. (SS),190.0,190.0,185.0,178.0,0.0,0.0,168.0,141.5,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,Leather Technology,167.5,163.0,162.5,154.5,0.0,0.0,147.5,123.5,113.5
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,Pharmaceutical Tech (SS),182.5,177.5,174.5,166.0,0.0,0.0,156.0,134.0,173.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,Petroleum Engineering and Technology (SS),177.5,172.0,175.5,166.0,0.0,0.0,150.0,129.75,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,Textile Technology,174.5,165.5,158.5,156.5,0.0,0.0,145.5,130.5,136.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,Aeronautical Engineering,191.5,190.0,189.5,188.0,0.0,0.0,183.0,163.5,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AS,Automobile Engineering (SS),184.0,180.0,182.5,173.5,0.0,0.0,165.0,139.5,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AU,Automobile Engineering,188.5,186.0,186.0,180.0,0.0,0.0,172.5,169.5,155.5
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,Computer Science and Engineering (SS),193.0,192.0,192.0,190.0,0.0,0.0,185.0,163.5,168.5
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,Computer Science and Engineering,195.0,194.0,192.5,191.0,0.0,0.0,189.75,184.0,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,Electronics and Communication Engineering,193.0,192.0,190.0,190.0,0.0,0.0,188.5,173.5,182.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,Electronics and Instrumentation Engineering,190.0,190.0,189.0,187.0,0.0,0.0,175.5,155.0,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,Electronics and Communication Engg. (SS),191.0,190.5,190.0,189.0,0.0,0.0,175.5,159.5,129.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,Information Tech. (SS),191.5,190.5,190.0,189.5,0.0,0.0,175.0,155.5,152.5
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",MF,Mechanical Engg. (SS),190.0,190.0,189.0,185.5,0.0,0.0,172.5,152.0,137.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PR,Production Engineering,186.5,183.5,182.0,175.0,0.0,0.0,164.0,135.5,140.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RP,Rubber and Plastic Tech.,178.5,172.5,156.5,164.0,0.0,0.0,153.0,126.5,110.5
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",AM,Computer Science and Engineering (AI and Machine Learning),133.0,86.5,0.0,92.0,0.0,0.0,86.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",BD,Computer Science and Engineering (Big Data Analytics),101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CE,Civil Engineering,109.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CH,Chemical Engineering,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CS,Computer Science and Engineering,128.0,91.5,98.0,104.0,0.0,0.0,91.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CZ,Civil and Structural Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EC,Electronics and Communication Engineering,125.0,0.0,84.0,100.0,0.0,0.0,86.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EE,Electrical and Electronics Engineering,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EI,Electronics and Instrumentation Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",IT,Information Technology,113.0,0.0,89.5,0.0,0.0,0.0,88.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",ME,Mechanical Engineering,98.5,0.0,0.0,0.0,0.0,0.0,83.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",MM,Mechanical (Manufacturing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
