Round,College,Code,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),749,941,1337,1206,0,0,4723,7666,13686
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,327,552,802,1039,0,0,2365,8661,3558
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,700,1083,1285,1365,0,0,3803,6848,4114
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2016,2634,3295,3227,0,0,12023,0,58219
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),1144,1343,1497,1619,0,0,5590,8649,19823
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,IM,INFORMATION TECHNOLOGY (SS),1158,1506,1408,1594,0,0,6325,15171,10851
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,PR,PRODUCTION ENGINEERING,10386,18615,14339,18981,0,0,27228,49221,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RA,ROBOTICS AND AUTOMATION (SS),2118,2983,2210,3867,0,0,13024,18770,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RP,RUBBER AND PLASTIC TECHNOLOGY,22185,36227,38174,40028,0,0,53941,94730,0
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),41377,89721,49409,74037,0,0,87093,94855,101325
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CE,CIVIL  ENGINEERING,102926,0,193929,194846,0,0,151418,0,166905
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),56909,102686,94759,87302,0,0,85402,98395,0
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CH,CHEMICAL  ENGINEERING,77233,0,161069,0,0,0,147654,0,126722
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CS,COMPUTER SCIENCE AND ENGINEERING,35831,73590,99813,78108,0,0,70387,161057,72805
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CZ,CIVIL AND STRUCTUTURAL ENGINEERING,137490,0,0,0,0,0,189470,0,0
