CollegeCode,College,BranchCode,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,BIO MEDICAL ENGINEERING  (SS),195.0,192.0,193.0,193.0,0.0,0.0,182.5,168.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,CIVIL  ENGINEERING,195.0,192.0,190.0,193.5,0.0,0.0,186.0,176.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.0,198.0,199.0,0.0,0.0,195.5,190.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,200.0,199.5,198.5,199.5,0.0,0.0,197.5,195.0,191.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.0,197.5,198.5,0.0,0.0,197.0,196.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,196.5,196.5,196.0,0.0,0.0,192.5,187.5,190.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EL,Electronics Engineering (VLSI Design and Technology) (SS),197.0,196.5,194.5,195.5,0.0,0.0,191.0,0.0,164.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,197.5,197.5,0.0,0.0,194.0,191.5,180.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,GEO INFORMATICS,191.0,188.0,189.0,186.0,0.0,0.0,177.0,175.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,INDUSTRIAL ENGINEERING,190.5,186.0,186.0,185.0,0.0,0.0,176.5,163.5,167.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),198.5,198.0,197.5,197.5,0.0,0.0,193.5,191.0,193.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),189.5,186.0,189.0,185.0,0.0,0.0,175.0,157.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,MECHANICAL ENGINEERING,194.5,192.5,193.5,192.5,0.0,0.0,187.0,182.5,184.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,MINING ENGINEERING,191.5,186.5,186.0,189.5,0.0,0.0,181.0,164.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,MANUFACTURING ENGINEERING,188.585,184.0,186.5,184.5,0.0,0.0,175.0,164.0,168.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,PRINTING & PACKING TECHNOLOGY,184.5,176.5,166.5,173.0,0.0,0.0,167.0,149.0,167.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),188.405,179.0,181.0,181.5,0.0,0.0,167.0,156.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),187.5,179.5,186.0,179.0,0.0,0.0,163.5,0.0,158.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),171.5,164.0,158.5,157.5,0.0,0.0,152.5,0.0,152.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,CHEMICAL  ENGINEERING,192.5,190.5,190.0,189.5,0.0,0.0,181.5,180.5,159.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,CHEMICAL  ENGINEERING (SS),190.0,187.0,189.5,186.0,0.0,0.0,177.0,164.5,148.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),175.0,166.5,155.5,168.0,0.0,0.0,149.5,130.5,175.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,FS,FOOD TECHNOLOGY (SS),184.5,180.0,182.0,180.0,0.0,0.0,171.5,0.0,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,192.0,188.0,190.5,189.0,0.0,0.0,174.0,167.5,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),190.5,187.0,189.5,182.0,0.0,0.0,179.5,161.5,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,LE,LEATHER TECHNOLOGY,171.0,162.0,156.5,158.5,0.0,0.0,157.5,119.0,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PM,PHARMACEUTICAL TECHNOLOGY (SS),185.0,176.0,179.0,179.0,0.0,0.0,164.5,134.0,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),185.5,178.0,178.5,179.5,0.0,0.0,174.5,162.0,164.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,TX,TEXTILE TECHNOLOGY,175.5,164.0,154.5,160.5,0.0,0.0,164.0,119.0,0.0
3,School of Architecture and Planning  Anna University Chennai 600025,BP,B.Plan,187.0,179.0,178.0,179.0,0.0,0.0,167.0,165.385,0.0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,196.0,193.5,190.5,194.0,0.0,0.0,191.5,175.5,168.0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.0,197.5,196.0,197.0,0.0,0.0,193.5,188.0,0.0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,191.5,189.0,189.0,187.5,0.0,0.0,179.5,164.0,0.0
