CollegeCode,College,BranchCode,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,BIO MEDICAL ENGINEERING  (SS),195.0,191.5,193.5,188.845,0.0,0.0,184.0,164.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,CIVIL  ENGINEERING,193.0,190.0,192.0,187.0,0.0,0.0,183.0,173.5,177.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.0,198.5,199.0,0.0,0.0,196.0,178.0,192.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,200.0,200.0,199.5,199.5,0.0,0.0,198.5,185.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,200.0,199.5,198.0,198.5,0.0,0.0,195.0,186.0,180.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,198.0,197.5,195.0,195.5,0.0,0.0,189.0,176.5,171.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199.0,198.5,197.5,197.0,0.0,0.0,191.5,190.0,175.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,GEO INFORMATICS,191.0,188.5,188.5,187.5,0.0,0.0,179.5,159.5,155.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,INDUSTRIAL ENGINEERING,189.0,184.5,185.5,179.5,0.0,0.0,169.5,148.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),199.0,198.5,198.0,198.0,0.0,0.0,191.5,176.0,182.5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),187.5,182.0,184.0,176.5,0.0,0.0,171.5,173.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,MECHANICAL ENGINEERING,195.5,193.5,191.0,191.5,0.0,0.0,182.5,168.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,MINING ENGINEERING,187.0,181.5,174.0,175.0,0.0,0.0,170.5,163.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,MANUFACTURING ENGINEERING,186.0,179.0,182.0,179.89,0.0,0.0,165.0,136.5,135.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,PRINTING AND PACKING TECHNOLOGY,181.955,170.5,173.0,171.5,0.0,0.0,162.0,131.0,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),180.5,174.0,161.0,165.5,0.0,0.0,166.0,157.5,0.0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),180.0,175.5,175.5,168.0,0.0,0.0,166.0,0.0,134.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),166.5,156.0,160.0,152.0,0.0,0.0,141.5,118.0,129.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,CHEMICAL  ENGINEERING,192.5,190.0,187.0,184.5,0.0,0.0,177.0,171.29,0.0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,CHEMICAL  ENGINEERING (SS),189.5,185.5,185.5,182.5,0.0,0.0,164.0,151.0,140.5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),170.5,157.5,152.0,155.5,0.0,0.0,146.5,140.0,0.0
